addr,balance_uni,pct_of_supply,entity
0x1a9c8182c09f50c8318d769245bea52c32be35bc,272134858.0,30.447,Uniswap Timelock/Treasury
0xf977814e90da44bfa03b6295a0616a897441acec,24064933.0,2.692,Binance (CEX)
0x61cb39bece033c5bda281747db1c15cced2096eb,23047481.0,2.579,unlabeled
0x5a52e96bacdabb82fd05763e25335261b270efcb,22441076.0,2.511,unlabeled
0x611f7bf868a6212f871e89f7e44684045ddfb09d,19240069.0,2.153,unlabeled
0x5069a64bc6616dec1584ee0500b7813a9b680f7e,14880125.0,1.665,unlabeled
0x36ca0abdf3852f00aee7798c7dfb5ead5d3fec2a,12611331.0,1.411,unlabeled
0x090d4613473dee047c3f2706764f49e0821d256e,12543368.0,1.403,unlabeled
0x6d278351f4a973d1349ef1e54ed37daed0799e19,10286054.0,1.151,unlabeled
0x1d48963dd8fada6ab5c2c7b92eba81ecc5030270,9309916.0,1.042,unlabeled
0x19d373d0f95f00d368a8d57605af746c4ea9b1d0,9295469.0,1.04,unlabeled
0x177df24addc9a216f927d2a894ab0b6eec59eb09,9000000.0,1.007,unlabeled
0x030d6830dc8ff125850390da620fa3e12decd437,9000000.0,1.007,unlabeled
0xaba63748c4b4def4a3319c3a29fe4829029d926f,8999999.0,1.007,unlabeled
0x7d325a9c8f10758188641fe91cfd902499edc782,8000000.0,0.895,unlabeled
0x1c1f02f1640e52b313f2d504b3c0c7ee8ad61108,8000000.0,0.895,unlabeled
0x5f246d7d19aa612d6718d27c1da1ee66859586b0,7300000.0,0.817,unlabeled
0x3b93892aceb2d2745ddb041354339239f6211d0a,7250000.0,0.811,unlabeled
0xaccfea7d9e618f60ce1347c52ae206262412aa4a,7021377.0,0.786,unlabeled
0x9d939a9bd16c1e66f37df5ad07a11b31dd63a139,7000000.0,0.783,unlabeled
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,6810000.0,0.762,unlabeled
0x28c6c06298d514db089934071355e5743bf21d60,5991890.0,0.67,Binance (CEX)
0x8fa129f87b8a11ee1ca35abd46674f8b66984d4a,5028819.0,0.563,unlabeled
0xa16d450b6f3f6f7c142c5de3f65d2b0230446e01,5000000.0,0.559,unlabeled
0xbb0dd3b2745fa1219ea5a305bcba8467ffc33133,5000000.0,0.559,unlabeled
